date,zone,district,flooding_point,direction,reference,start,period,type
10/01/2019,Zona Sudeste,Vila Mariana,AV. PROF ABRAAO DE MORAIS,AMBOS,R. RIBEIRO LACERDA,22:47,23:25,INTRANSITÁVEL
11/01/2019,Zona Norte,Santana,MARGINAL TIETE,A SENNA/CASTELO B - AUXILIAR,PTE DAS BANDEIRAS SEN ROMEU TUMA,16:22,17:56,TRANSITÁVEL
11/01/2019,Zona Norte,Santana,MARGINAL TIETE,A SENNA/CASTELO B - CENTRAL,PTE DAS BANDEIRAS SEN ROMEU TUMA,17:40,17:45,TRANSITÁVEL
11/01/2019,Zona Oeste,Pinheiros,AL SANTOS,UNICO,R. PEIXOTO GOMIDE,1:19,1:44,TRANSITÁVEL
11/01/2019,Zona Oeste,Pinheiros,AV. CIDADE JARDIM,CENTRO/BAIRRO,R. FRANZ SCHUBERT,8:12,9:57,TRANSITÁVEL
11/01/2019,Zona Sul,M'Boi Mirim,ES. M BOI MIRIM,AMBOS,R. CLAMECY,17:25,17:46,INTRANSITÁVEL
13/01/2019,Zona Sul,Parelheiros,AV. SEN TEOTONIO VILELA,BAIRRO/CENTRO,R. RUBEN DARIO,15:53,,TRANSITÁVEL
14/01/2019,Zona Leste,Aricanduva/Vila Formosa,AV. ARICANDUVA,MARGINAL/ITAQUERA - ESQUERDA,R. JULIO COLACO,18:00,18:15,INTRANSITÁVEL
14/01/2019,Zona Leste,Itaquera,AV. ITAQUERA,BAIRRO/CENTRO,R. TOMAZZO FERRARA,18:19,18:36,INTRANSITÁVEL
14/01/2019,Zona Leste,Mooca,AV. CELSO GARCIA,CENTRO/BAIRRO - LOCAL,R. SALDANHA MARINHO,17:39,18:35,TRANSITÁVEL
14/01/2019,Zona Sul,Cidade Ademar,AV. INTERLAGOS,AMBOS,R. ENG DAGOBERTO SALLES FILHO,16:41,17:10,INTRANSITÁVEL
14/01/2019,Zona Sul,Santo Amaro,AV. DAS NACOES UNIDAS,AMBOS,R. JAIME DE OLIVEIRA SOUZA,16:46,17:47,INTRANSITÁVEL
14/01/2019,Zona Sudeste,Vila Mariana,AV. DAS NACOES UNIDAS,AMBOS,VD. GAL EUCLIDES DE FIGUEIREDO,17:40,17:45,INTRANSITÁVEL
16/01/2019,Zona Leste,Penha,AV. AIRTON PRETINI,BAIRRO/CENTRO,VD. ENG ALBERTO BADRA,5:11,5:28,TRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,MARGINAL TIETE,A SENNA/CASTELO B - EXP,PTE DA CASA VERDE - JORN. WALTER ABRAHAO,18:32,21:53,TRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,AV. ANTONIO MUNHOZ BONILHA,AMBOS,AV NSRA DO O,18:41,19:02,INTRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,AV. NSRA. DO O,AMBOS,AV. ANTONIO MUNHOZ BONILHA,18:58,19:02,INTRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,AV. NSRA. DO O,CENTRO/BAIRRO,AV. PROF CELESTINO BOURROUL,19:09,19:42,TRANSITÁVEL
17/01/2019,Centro,Sé,R. MANOEL DUTRA,UNICO,PÇ. QUATORZE BIS,18:37,19:22,INTRANSITÁVEL
17/01/2019,Centro,Sé,PÇ DA BANDEIRA,CENTRO/BAIRRO,AV. VINTE E TRES DE MAIO,18:41,19:27,INTRANSITÁVEL
17/01/2019,Centro,Sé,AV. RIO BRANCO,BAIRRO/CENTRO,AV. DUQUE DE CAXIAS,18:57,19:35,TRANSITÁVEL
17/01/2019,Centro,Sé,P. QUATORZE BIS,AMBOS,AV. NOVE DE JULHO,19:03,19:23,INTRANSITÁVEL
17/01/2019,Zona Oeste,Butantã,AV. VITAL BRASIL,BAIRRO/CENTRO,PÇ. JORGE DE LIMA,18:23,19:48,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,AV. SUMARE,AMBOS,R. DR. HOMEM DE MELO,18:24,18:30,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,AV. POMPEIA,AMBOS,R. PALESTRA ITALIA,18:24,19:08,INTRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,R. BR DO BANANAL,AMBOS,R VENANCIO AIRES,18:29,19:36,INTRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,PÇ. PASCOAL MARTINS,AMBOS,AV. MARQ. DE SAO VICENTE,18:36,19:55,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,AV. MARQ DE SAO VICENTE,AMBOS,PÇ LUIZ CARLOS MESQUITA,19:12,19:55,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,MARGINAL TIETE,CASTELO B/A SENNA - CENTRAL,PTE DA CASA VERDE - JORN. WALTER ABRAHAO,19:17,20:48,TRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,TN. MAX FEFFER,AMBOS,AV. CIDADE JARDIM,18:07,18:15,TRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,R. HARMONIA,AMBOS,R. LUIS MURAT,18:10,18:40,INTRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,R. HENRIQUE SCHAUMANN,IBIRAPUERA/SUMARE,AV. REBOUCAS,18:20,18:43,INTRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,PÇ. PAN-AMERICANA,BAIRRO/CENTRO,AV. PEDROSO DE MORAIS,19:10,21:02,TRANSITÁVEL
17/01/2019,Zona Leste,Mooca,AV. CELSO GARCIA,CENTRO/BAIRRO,R. SALDANHA MARINHO,19:37,20:24,TRANSITÁVEL
17/01/2019,Zona Leste,Penha,MARGINAL TIETE,CASTELO B/A SENNA - EXP,PTE. ARICANDUVA - DR. MIGUEL ARRAES,21:49,21:53,TRANSITÁVEL
17/01/2019,Zona Sul,Santo Amaro,AV. DAS NACOES UNIDAS,INTERLAGOS/CASTELO - LOCAL,R. ACARI,17:34,19:25,TRANSITÁVEL
17/01/2019,Zona Sudeste,Vila Mariana,AV. VINTE E TRES DE MAIO,AEROPORTO/SANTANA,VD. GAL EUCLIDES DE FIGUEIREDO,17:49,18:00,INTRANSITÁVEL
18/01/2019,Zona Sul,M'Boi Mirim,AV. MARIA COELHO AGUIAR,BAIRRO/CENTRO,ALTURA DO NÚMERO 1447,17:51,18:14,TRANSITÁVEL
18/01/2019,Zona Sul,Santo Amaro,R. MIGUEL YUNES,INTERLAGOS/MARGINAL,AV INTERLAGOS,16:55,18:07,TRANSITÁVEL
19/01/2019,Zona Oeste,Butantã,AV. PROF FRANCISCO MORATO,AMBOS - LOCAL,AV. GAL FRANCISCO MORAZAN,19:42,20:19,INTRANSITÁVEL
19/01/2019,Zona Oeste,Butantã,AV. JULES RIMET,AMBOS,AV. PDE LEBRET,20:01,21:30,INTRANSITÁVEL
19/01/2019,Zona Sul,Campo Limpo,R. ALVES DOS SANTOS,UNICO,ES DO CAMPO LIMPO,20:04,21:30,TRANSITÁVEL
19/01/2019,Zona Sudeste,Vila Mariana,AV. VINTE E TRES DE MAIO,AMBOS,VD. GAL EUCLIDES DE FIGUEIREDO,20:04,21:30,TRANSITÁVEL
20/01/2019,Zona Norte,Vila Maria/Vila Guilherme,PTE DO TATUEPE DEP RICARDO IZAR,MARGINAL/V PRUDENTE  ,AV. MORVAN DIAS DE FIGUEIREDO,2:43,2:51,TRANSITÁVEL
20/01/2019,Zona Sudeste,Vila Mariana,AV. PROF ABRAAO DE MORAIS,S PAULO/SANTOS,VD. MIN ALIOMAR BALEEIRO,2:00,8:29,TRANSITÁVEL
22/01/2019,Zona Norte,Santana,AV. OLAVO FONTOURA,ST/CV,ALTURA DO NÚMERO 1209,15:20,16:30,TRANSITÁVEL
22/01/2019,Zona Norte,Santana,R. COMEN JOAQUIM MONTEIRO,UNICO,AV. BRAZ LEME,15:42,18:30,TRANSITÁVEL
22/01/2019,Zona Norte,Santana,R. CEL ANTONIO DE CARVALHO,UNICO,R. URUPIARA,16:33,18:43,INTRANSITÁVEL
22/01/2019,Zona Norte,Santana,MARGINAL TIETE,A SENNA/CASTELO B - CENTRAL,PTE DAS BANDEIRAS SEN ROMEU TUMA,17:14,18:52,TRANSITÁVEL
22/01/2019,Centro,Sé,R. PAULINO GUIMARAES,UNICO,R. EDUARDO CHAVES,15:04,16:20,TRANSITÁVEL
22/01/2019,Centro,Sé,R. MARIA PAULA,UNICO,R. STO AMARO,15:42,16:57,TRANSITÁVEL
22/01/2019,Centro,Sé,AV. MERCÚRIO,UNICO,PÇ. S. VITO,15:56,18:55,TRANSITÁVEL
22/01/2019,Centro,Sé,AV. S. JOAO,BAIRRO/CENTRO,ALTURA DO NÚMERO 1821,17:25,18:29,TRANSITÁVEL
22/01/2019,Zona Oeste,Lapa,R. SEN JOAQUIM RIBEIRO DO VALLE,UNICO,AV DR GASTAO VIDIGAL,18:54,21:00,TRANSITÁVEL
